contest,title,english_title,rating,url
第 231 场周赛,从第一个节点出发到最后一个节点的受限路径数,Number of Restricted Paths From First to Last Node,2078.5417326415,https://leetcode.cn/problems/number-of-restricted-paths-from-first-to-last-node/
第 231 场周赛,使所有区间的异或结果为零,Make the XOR of All Segments Equal to Zero,2640.3824813624,https://leetcode.cn/problems/make-the-xor-of-all-segments-equal-to-zero/
第 47 场双周赛,找到最近的有相同 X 或 Y 坐标的点,Find Nearest Point That Has the Same X or Y Coordinate,1259.5707438932,https://leetcode.cn/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate/
第 47 场双周赛,判断一个数字是否可以表示成三的幂的和,Check if Number is a Sum of Powers of Three,1505.82499953,https://leetcode.cn/problems/check-if-number-is-a-sum-of-powers-of-three/
第 47 场双周赛,所有子字符串美丽值之和,Sum of Beauty of All Substrings,1714.6960124182,https://leetcode.cn/problems/sum-of-beauty-of-all-substrings/
第 47 场双周赛,统计点对的数目,Count Pairs Of Nodes,2457.115574186,https://leetcode.cn/problems/count-pairs-of-nodes/
第 230 场周赛,统计匹配检索规则的物品数量,Count Items Matching a Rule,1174.8589329736,https://leetcode.cn/problems/count-items-matching-a-rule/
第 230 场周赛,最接近目标价格的甜点成本,Closest Dessert Cost,1701.7584658834,https://leetcode.cn/problems/closest-dessert-cost/
第 230 场周赛,通过最少操作次数使数组的和相等,Equal Sum Arrays With Minimum Number of Operations,1850.4091449367,https://leetcode.cn/problems/equal-sum-arrays-with-minimum-number-of-operations/
第 230 场周赛,车队 II,Car Fleet II,2530.6905139914,https://leetcode.cn/problems/car-fleet-ii/
第 229 场周赛,交替合并字符串,Merge Strings Alternately,1166.5264284193,https://leetcode.cn/problems/merge-strings-alternately/
第 229 场周赛,移动所有球到每个盒子所需的最小操作数,Minimum Number of Operations to Move All Balls to Each Box,1294.7724244077,https://leetcode.cn/problems/minimum-number-of-operations-to-move-all-balls-to-each-box/
第 229 场周赛,执行乘法运算的最大分数,Maximum Score from Performing Multiplication Operations,2068.0043466118,https://leetcode.cn/problems/maximum-score-from-performing-multiplication-operations/
第 229 场周赛,由子序列构造的最长回文串的长度,Maximize Palindrome Length From Subsequences,2182.054452981,https://leetcode.cn/problems/maximize-palindrome-length-from-subsequences/
第 46 场双周赛,最长的美好子字符串,Longest Nice Substring,1521.7133617698,https://leetcode.cn/problems/longest-nice-substring/
第 46 场双周赛,通过连接另一个数组的子数组得到一个数组,Form Array by Concatenating Subarrays of Another Array,1588.3835994255,https://leetcode.cn/problems/form-array-by-concatenating-subarrays-of-another-array/
第 46 场双周赛,地图中的最高点,Map of Highest Peak,1782.9801784101,https://leetcode.cn/problems/map-of-highest-peak/
第 46 场双周赛,互质树,Tree of Coprimes,2231.8099102949,https://leetcode.cn/problems/tree-of-coprimes/
第 228 场周赛,生成交替二进制字符串的最少操作数,Minimum Changes To Make Alternating Binary String,1353.629677812,https://leetcode.cn/problems/minimum-changes-to-make-alternating-binary-string/
第 228 场周赛,统计同质子字符串的数目,Count Number of Homogenous Substrings,1490.8990184504,https://leetcode.cn/problems/count-number-of-homogenous-substrings/
第 228 场周赛,袋子里最少数目的球,Minimum Limit of Balls in a Bag,1939.9323330472,https://leetcode.cn/problems/minimum-limit-of-balls-in-a-bag/
第 228 场周赛,一个图中连通三元组的最小度数,Minimum Degree of a Connected Trio in a Graph,2005.2755755378,https://leetcode.cn/problems/minimum-degree-of-a-connected-trio-in-a-graph/
第 227 场周赛,检查数组是否经排序和轮转得到,Check if Array Is Sorted and Rotated,1324.5320836804,https://leetcode.cn/problems/check-if-array-is-sorted-and-rotated/
第 227 场周赛,移除石子的最大得分,Maximum Score From Removing Stones,1487.5826663483,https://leetcode.cn/problems/maximum-score-from-removing-stones/
第 227 场周赛,构造字典序最大的合并字符串,Largest Merge Of Two Strings,1828.6438563573,https://leetcode.cn/problems/largest-merge-of-two-strings/
第 227 场周赛,最接近目标值的子序列和,Closest Subsequence Sum,2363.5096568214,https://leetcode.cn/problems/closest-subsequence-sum/
第 45 场双周赛,唯一元素的和,Sum of Unique Elements,1228.4824438011,https://leetcode.cn/problems/sum-of-unique-elements/
第 45 场双周赛,任意子数组和的绝对值的最大值,Maximum Absolute Sum of Any Subarray,1541.6176288991,https://leetcode.cn/problems/maximum-absolute-sum-of-any-subarray/
第 45 场双周赛,删除字符串两端相同字符后的最短长度,Minimum Length of String After Deleting Similar Ends,1501.6846714598,https://leetcode.cn/problems/minimum-length-of-string-after-deleting-similar-ends/
第 45 场双周赛,最多可以参加的会议数目 II,Maximum Number of Events That Can Be Attended II,2040.5621123027,https://leetcode.cn/problems/maximum-number-of-events-that-can-be-attended-ii/
第 226 场周赛,盒子中小球的最大数量,Maximum Number of Balls in a Box,1277.9987709491,https://leetcode.cn/problems/maximum-number-of-balls-in-a-box/
第 226 场周赛,从相邻元素对还原数组,Restore the Array From Adjacent Pairs,1579.2309881035,https://leetcode.cn/problems/restore-the-array-from-adjacent-pairs/
第 226 场周赛,你能在你最喜欢的那天吃到你最喜欢的糖果吗？,Can You Eat Your Favorite Candy on Your Favorite Day?,1858.9581916885,https://leetcode.cn/problems/can-you-eat-your-favorite-candy-on-your-favorite-day/
第 226 场周赛,回文串分割 IV,Palindrome Partitioning IV,1924.964639491,https://leetcode.cn/problems/palindrome-partitioning-iv/
第 225 场周赛,替换隐藏数字得到的最晚时间,Latest Time by Replacing Hidden Digits,1264.4836883082,https://leetcode.cn/problems/latest-time-by-replacing-hidden-digits/
第 225 场周赛,满足三条件之一需改变的最少字符数,Change Minimum Characters to Satisfy One of Three Conditions,1952.7073399331,https://leetcode.cn/problems/change-minimum-characters-to-satisfy-one-of-three-conditions/
第 225 场周赛,找出第 K 大的异或坐标值,Find Kth Largest XOR Coordinate Value,1671.4657554194,https://leetcode.cn/problems/find-kth-largest-xor-coordinate-value/
第 225 场周赛,放置盒子,Building Boxes,2198.4642973466,https://leetcode.cn/problems/building-boxes/
第 44 场双周赛,找到最高海拔,Find the Highest Altitude,1256.6807087287,https://leetcode.cn/problems/find-the-highest-altitude/
第 44 场双周赛,需要教语言的最少人数,Minimum Number of People to Teach,1983.70440706,https://leetcode.cn/problems/minimum-number-of-people-to-teach/
第 44 场双周赛,解码异或后的排列,Decode XORed Permutation,2024.3797833173,https://leetcode.cn/problems/decode-xored-permutation/
第 44 场双周赛,生成乘积数组的方案数,Count Ways to Make Array With Product,2499.5640490579,https://leetcode.cn/problems/count-ways-to-make-array-with-product/
第 224 场周赛,可以形成最大正方形的矩形数目,Number Of Rectangles That Can Form The Largest Square,1229.4850365142,https://leetcode.cn/problems/number-of-rectangles-that-can-form-the-largest-square/
第 224 场周赛,同积元组,Tuple with Same Product,1530.0343519239,https://leetcode.cn/problems/tuple-with-same-product/
第 224 场周赛,重新排列后的最大子矩阵,Largest Submatrix With Rearrangements,1926.7059583253,https://leetcode.cn/problems/largest-submatrix-with-rearrangements/
第 224 场周赛,猫和老鼠 II,Cat and Mouse II,2849.4841858619,https://leetcode.cn/problems/cat-and-mouse-ii/
